Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,has_cabin,family_size,is_alone,fare_per_person,title,age_group,fare_bin,sex_encoded,Embarked_C,Embarked_Q,Embarked_S,title_Master,title_Miss,title_Mrs,title_Rare,age_group_encoded,fare_bin_encoded
0,3,male,-0.5348911628688886,1,0,-0.5641087873940193,S,0,0.059159876663617626,0,-0.5476058507246607,Mr,Adult,Low,0,False,False,True,False,False,False,False,2,
1,1,female,0.6683917564561223,1,0,0.9425480546638041,C,1,0.059159876663617626,0,0.5808979535718629,Mrs,Adult,VHigh,1,True,False,False,False,False,True,False,2,
1,3,female,-0.23407043303763592,0,0,-0.548226529750121,S,0,-0.5609748304808925,1,-0.39604201258184907,Miss,Adult,Medium,1,False,False,True,False,True,False,False,2,
1,1,female,0.4427762090826827,1,0,0.5147082688618853,S,1,0.059159876663617626,0,0.26044089100184115,Mrs,Adult,VHigh,1,False,False,True,False,False,True,False,2,
0,3,male,0.4427762090826827,0,0,-0.5452853709271769,S,0,-0.5609748304808925,1,-0.39163608705444175,Mr,Adult,Medium,0,False,False,True,False,False,False,False,2,
0,3,male,-0.3092756154954491,0,0,-0.5356783697479123,Q,0,-0.5609748304808925,1,-0.3772445719117185,Mr,Adult,Medium,0,False,True,False,False,False,False,False,2,
0,1,male,1.8716746757811333,0,0,0.4855907965147383,S,1,-0.5609748304808925,1,1.1526408103018226,Mr,Adult,VHigh,0,False,False,True,False,False,False,False,2,
0,3,male,-2.038994812025152,3,1,-0.23881662157639924,S,0,1.9195639980971482,0,-0.5268098822352982,Master,Child,High,0,False,False,True,True,False,False,False,0,
1,3,female,-0.15886525057982273,0,2,-0.47273757093690794,S,0,0.6792945838081278,0,-0.5445710492213827,Mrs,Adult,Medium,1,False,False,True,False,False,True,False,2,
1,2,female,-1.136532622531394,1,0,-0.027152009260873307,C,0,0.059159876663617626,0,-0.14541886962123324,Mrs,Teen,High,1,True,False,False,False,False,True,False,1,
1,3,female,-1.8885844471095259,1,1,-0.3417571803794436,S,1,0.6792945838081278,0,-0.47916714086560047,Miss,Child,High,1,False,False,True,False,True,False,False,0,
